,Group,logV,logVsd,logVlow,logVhigh,n,nsd,nlow,nhigh,Eo,Eosd,Eolow,Eohigh,Nspecies,level
1,Bivalvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Class
2,Mytilida,1.461851261,0.484203825,0.693629552,2.299658842,-0.055398721,0.067813827,-0.156315018,0.050612486,0.210622223,0.191456188,-0.109204947,0.502850054,1,Order
3,Mytilidae,1.718329397,0.317339452,1.23102914,2.240790712,-0.027291347,0.070390589,-0.138839982,0.092823952,0.149407517,0.142850545,-0.08255927,0.38724694,1,Family
4,Pectinida,1.411969763,0.491897758,0.589824965,2.192530997,-0.061352669,0.064511993,-0.164804731,0.049220249,0.238878064,0.195546884,-0.072146689,0.555111892,1,Order
5,Pectinidae,1.551820621,0.304895309,1.074532384,2.086238786,-0.050019003,0.067004553,-0.154482041,0.070587865,0.250373805,0.142652288,0.023624506,0.480593075,1,Family
6,Cephalopoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Class
7,Myopsida,1.297258682,0.467799416,0.502896634,2.040613709,-0.070470757,0.066389071,-0.177146163,0.034033082,0.230707543,0.18750049,-0.081840938,0.537336582,2,Order
8,Loliginidae,1.266011691,0.303009963,0.756906921,1.750328668,-0.06186752,0.069406147,-0.171520747,0.048684195,0.213292393,0.138017589,-0.036501084,0.41874803,2,Family
9,Nautilida,1.245343656,0.4749712,0.506960792,2.047366692,-0.074083669,0.064154967,-0.180295747,0.020792508,0.284963592,0.193698255,-0.027030024,0.597138613,1,Order
10,Nautilidae,1.134010054,0.364701083,0.522350968,1.736953864,-0.086369689,0.07127516,-0.201310848,0.031344764,0.362605527,0.162349876,0.112550217,0.667222696,1,Family
11,Octopoda,1.207650491,0.479575903,0.421801284,2.003604676,-0.074824439,0.064705422,-0.182807689,0.029108116,0.225455499,0.189759665,-0.117100847,0.513396536,2,Order
12,Amphitretidae,0.674839131,0.306529797,0.204970188,1.193813963,-0.108589252,0.079484841,-0.250494039,0.009704099,0.262420226,0.16589377,-0.013617064,0.540504513,1,Family
13,Octopodidae,1.444185087,0.288122221,0.948380155,1.892338822,-0.060630441,0.048439073,-0.138226274,0.016065343,0.167779299,0.13223506,-0.045689968,0.389664778,1,Family
14,Oegopsida,1.190301841,0.489209426,0.350605978,1.987658431,-0.054619797,0.063131577,-0.152169481,0.043309801,0.289382098,0.201054775,-0.027306703,0.653754878,1,Order
15,Ommastrephidae,0.899345888,0.448498689,0.175595994,1.634677957,-0.032561521,0.066203622,-0.134467203,0.074931996,0.396020854,0.169314162,0.13179658,0.680826017,1,Family
16,Clitellata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Class
17,Tubificida,1.425126533,0.504366162,0.609258971,2.224588086,-0.06613884,0.063854053,-0.167094427,0.039715795,0.182226493,0.195545584,-0.147109379,0.487764597,1,Order
18,Naididae,1.482056793,0.351204255,0.917057259,2.04932619,-0.061072917,0.055381207,-0.153768282,0.024432976,0.102103336,0.143269306,-0.134257215,0.331214015,1,Family
19,Copepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Class
20,Calanoida,1.132408951,0.466383594,0.357800945,1.858962692,-0.103685708,0.06507107,-0.209664281,-0.005847244,0.245955041,0.194962987,-0.065689087,0.585259676,3,Order
21,Lucicutiidae,0.927959261,0.375407997,0.285926268,1.531422443,-0.144143249,0.06304131,-0.257851417,-0.054622343,0.289247882,0.162412039,0.023930386,0.567829543,1,Family
22,Megacalanidae,0.99552638,0.35772231,0.424346929,1.582566428,-0.131655544,0.062820252,-0.240667811,-0.038392246,0.268493217,0.161030192,0.011834775,0.514823078,1,Family
23,Metridinidae,1.114677117,0.338263034,0.589001209,1.657318785,-0.11151173,0.062051624,-0.211753161,-0.012415433,0.237041755,0.154628312,-0.017269253,0.482307021,1,Family
24,Harpacticoida,1.248563697,0.503520201,0.424637373,2.049818525,-0.075875766,0.062019628,-0.169631591,0.020791281,0.251587917,0.200489836,-0.0591954,0.595107855,1,Order
25,Harpacticidae,1.113492478,0.414915691,0.401362583,1.816880492,-0.097211668,0.051551143,-0.186783202,-0.019804301,0.317545926,0.164603862,0.043481077,0.585139964,1,Family
26,Elasmobranchii,1.502317,NA,0.7086717,9.654109,0.2661157,NA,-0.2180308,0.05064831,0.2661157,NA,-0.07659791,0.6013813,3,Class
27,Carcharhiniformes,1.421615174,0.489165212,0.593783648,2.208340886,-0.082506492,0.065501688,-0.185767188,0.018814013,0.183874015,0.194527773,-0.147828605,0.500484172,1,Order
28,Scyliorhinidae,1.474263715,0.368843025,0.868126429,2.097031231,-0.117440932,0.069761263,-0.239540229,-0.00842824,0.128733304,0.15228067,-0.121148082,0.371700809,1,Family
29,Orectolobiformes,1.360954143,0.490959956,0.521198845,2.141308839,-0.056859675,0.06637193,-0.160009678,0.04494771,0.194455111,0.193082867,-0.11888048,0.494310842,1,Order
30,Hemiscylliidae,1.375024684,0.448292972,0.644330136,2.154060079,-0.035184589,0.061030069,-0.128146412,0.064672317,0.15838396,0.198912924,-0.179437922,0.467561961,1,Family
31,Rhinopristiformes,1.336375783,0.514324138,0.462857813,2.163519986,-0.065412679,0.064039835,-0.164465798,0.038323872,0.233912222,0.197625725,-0.086387797,0.556108612,1,Order
32,Trygonorrhinidae,1.332836777,0.493979402,0.480164282,2.165380931,-0.055502881,0.059921085,-0.153383902,0.046884315,0.207517199,0.200486224,-0.108808764,0.540583052,1,Family
33,Gastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Class
34,Littorinimorpha,1.345887936,0.518664626,0.440877402,2.191651311,-0.063562269,0.067899213,-0.168984666,0.045993784,0.214023142,0.209808463,-0.119075253,0.564882542,1,Order
35,Strombidae,1.397516436,0.423377133,0.662759782,2.067048539,-0.059358103,0.077137775,-0.185523968,0.064091256,0.186864486,0.199762078,-0.128631461,0.509907698,1,Family
36,Gymnolaemata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Class
37,Cheilostomatida,1.370681818,0.499906641,0.561699697,2.169075273,-0.051858569,0.064425556,-0.159098087,0.056380761,0.207447963,0.193816558,-0.095310045,0.529170251,1,Order
38,Aspidostomatidae,1.467365503,0.357061132,0.904325123,2.086185916,-0.020585956,0.065956254,-0.124088125,0.094692356,0.182516421,0.155756185,-0.075627581,0.435400809,1,Family
39,Hexacorallia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Class
40,Actiniaria,1.300152438,0.463579336,0.576254726,2.044427455,-0.06523561,0.062720539,-0.162432655,0.040792172,0.244330306,0.190531562,-0.064484282,0.549376714,1,Order
41,Edwardsiidae,1.283745964,0.342569798,0.724084755,1.839644745,-0.048742988,0.057645607,-0.142155031,0.046752273,0.282085178,0.129976097,0.074919933,0.498329443,1,Family
42,Malacostraca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Class
43,Decapoda,1.319006103,0.427806738,0.588335864,2.028127534,-0.064909961,0.054228893,-0.15333732,0.014090137,0.328654273,0.171298928,0.049558217,0.595426735,22,Order
44,Acanthephyridae,1.384183132,0.241790109,0.968425729,1.758382794,-0.036523911,0.059973513,-0.128257881,0.072106399,0.220131748,0.110249206,0.045731701,0.410847223,5,Family
45,Benthesicymidae,0.926034531,0.280259592,0.459617494,1.405441016,-0.101837105,0.064718119,-0.218319548,-0.011572488,0.443668542,0.142734768,0.237381685,0.704104527,2,Family
46,Bythograeidae,0.836656045,0.330904896,0.325326579,1.412731182,-0.035500589,0.071321752,-0.147784752,0.094621956,0.323646997,0.124397057,0.12088513,0.534050001,1,Family
47,Grapsidae,0.905892293,0.390696347,0.236747719,1.508609239,-0.091707833,0.074153141,-0.225758771,0.01872975,0.563214124,0.161360567,0.3180401,0.842672579,1,Family
48,Majidae,1.462238234,0.355390084,0.866947888,2.018649248,-0.071385873,0.055619369,-0.16503935,0.016064502,0.314265247,0.13730632,0.091786394,0.546935073,1,Family
49,Oplophoridae,1.622838668,0.250281641,1.204508756,2.029759907,-0.043789547,0.060547796,-0.14124092,0.058414259,0.22962461,0.105313903,0.057722883,0.405572374,3,Family
50,Palinuridae,1.212048345,0.361222735,0.612469751,1.806323789,-0.067012194,0.056503603,-0.15701555,0.02865079,0.368727974,0.130047674,0.130489559,0.576371457,2,Family
51,Pandalidae,1.541433063,0.267286991,1.125854294,1.951444201,-0.096798457,0.065079133,-0.208681514,0.006328874,0.267338538,0.129193171,0.059685457,0.47559577,2,Family
52,Penaeidae,1.363657842,0.282061814,0.920507729,1.847212662,-0.061138526,0.062947232,-0.167513957,0.040674277,0.272500729,0.128145879,0.070736847,0.479178575,1,Family
53,Sergestidae,1.75981393,0.233934261,1.386841959,2.156059874,-0.030131487,0.066298601,-0.135409736,0.082239973,0.361292679,0.111656436,0.164248767,0.54426117,4,Family
54,Euphausiacea,1.142112973,0.498543024,0.30608598,1.957679586,-0.081750835,0.065538735,-0.192848646,0.019095799,0.303112176,0.191452097,0.006104448,0.625143912,1,Order
55,Euphausiidae,0.788978593,0.349575072,0.201296968,1.339710325,-0.128665714,0.062447404,-0.230856971,-0.027601443,0.45334056,0.15866074,0.204121865,0.726156382,1,Family
56,Ophiuroidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Class
57,Ophiacanthida,1.349685094,0.500511847,0.558317301,2.199708891,-0.061071996,0.066804052,-0.173011524,0.051071313,0.213842757,0.203105592,-0.128455809,0.531227809,2,Order
58,Ophiocomidae,1.344664325,0.438438686,0.652702748,2.105626039,-0.059239371,0.078454369,-0.190774851,0.062928575,0.181218568,0.19711841,-0.146632,0.495303402,1,Family
59,Ophiodermatidae,1.377795255,0.434664239,0.69151515,2.118183211,-0.064330769,0.074220455,-0.183006555,0.05505922,0.248550102,0.193606089,-0.076430102,0.550032056,1,Family
60,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Class
61,Phyllodocida,1.145007404,0.485382266,0.283328731,1.886597059,-0.088440233,0.064950075,-0.198901547,0.006963902,0.248888882,0.205860369,-0.068384407,0.595507221,1,Order
62,Nereididae,0.8368399,0.406012461,0.153489243,1.498189662,-0.131766371,0.069636038,-0.253682371,-0.029112435,0.295193737,0.195236281,-0.042145854,0.627987664,1,Family
63,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,Class
64,Acanthuriformes,1.301341548,0.500202711,0.439909772,2.065510858,-0.072688602,0.066511169,-0.171163975,0.03386671,0.2150358,0.202419415,-0.108346025,0.553462268,1,Order
65,Acanthuridae,1.155478172,0.433250445,0.440439007,1.850121824,-0.071783014,0.077768978,-0.208352074,0.047540119,0.222693053,0.207092222,-0.137261542,0.569239448,1,Family
