"species","region","data_type","bp_ensemble_mean","bp_ensemble_sd","slope_ensemble_mean","slope_ensemble_sd"
"silvergray rockfish","bc","bottom trawl only",6.82183751582961,0.193615069146791,2.40907907698221,0.255005154258803
"silvergray rockfish","coastwide","bottom trawl only",8.47004907744298,0.312292648103182,1.23570806996579,0.146142433460775
"redstripe rockfish","coastwide","bottom trawl only",2.5410881811138,0.89114047763152,1.46666902961784,0.379707233354704
"lingcod","coastwide","bottom trawl only",6.00618913794785,1.17690942950912,0.203288108480096,0.0875186159226088
"yellowtail rockfish","coastwide","bottom trawl only",4.39537489529648,0.385562597775209,1.9375216594298,0.210174414424262
"pacific sanddab","cc","bottom trawl only",3.68166131579307,0.46615493890039,0.282880806285252,0.042066866161121
"pacific sanddab","bc","bottom trawl only",3.71359687757314,3.47353669214525,0.639025270906499,0.309934546485736
"yelloweye rockfish","goa","bottom trawl & IPHC",26.9013946322713,5.20523434488866,0.0680398477394136,0.0258637410133033
"english sole","bc","bottom trawl only",3.12468669783984,1.98335612979825,0.384112141563195,0.167660182411201
"redbanded rockfish","goa","bottom trawl only",21.6305173808798,2.55442810484218,1.7976436305696,0.506226339641038
"big skate","bc","bottom trawl only",9.35382628418633,2.69782575340579,1.05066420523808,0.755828633429687
"big skate","cc","bottom trawl & IPHC",6.76584720595085,0.940605396933937,0.799053240462568,0.530627639379115
"big skate","coastwide","bottom trawl & IPHC",15.8690640855327,0.902077844050069,0.787689234940046,0.139533159544579
"canary rockfish","bc","bottom trawl only",11.835223695007,0.590032509517051,2.00322255923355,0.48800679645393
"spotted ratfish","cc","bottom trawl only",5.89319366168955,0.298485774569137,0.442902968347959,0.0748553266236394
"spotted ratfish","bc","bottom trawl only",6.12010062428109,0.875679861327303,0.351750825622554,0.169212943103619
"spotted ratfish","coastwide","bottom trawl only",3.93320851929984,0.350797634924582,0.372184033207947,0.0641078801429139
"flathead sole","cc","bottom trawl only",2.11183602895553,1.06760476902163,0.349593458591782,0.170919793018944
"longnose skate","goa","bottom trawl & IPHC",5.61836278413128,4.82779129901833,0.0542948514786161,0.0369025011016366
"pacific halibut","bc","bottom trawl only",6.78086105195198,0.45533878992253,0.730641689610545,0.150672054866317
"pacific halibut","ebs","bottom trawl only",7.2853836341688,2.52441481229706,0.172940973552374,0.0482895559264774
"pacific halibut","coastwide","bottom trawl only",13.3959232417107,3.70093189240892,0.221915495236312,0.0771281662929022
"pacific halibut","cc","bottom trawl & IPHC",6.55243992724989,0.198624754855459,1.0073009202564,0.0958568309052811
"pacific halibut","bc","bottom trawl & IPHC",9.57022524191519,0.268751692527768,0.749612869895962,0.0690601551294745
"pacific halibut","goa","bottom trawl & IPHC",21.8284873094624,2.08117196043233,0.0884179219766151,0.0167783234184286
"pacific halibut","ebs","bottom trawl & IPHC",10.7149964347219,1.65688200404905,0.199064033505325,0.0491269976337699
"pacific halibut","coastwide","bottom trawl & IPHC",10.3849957937089,0.612099559558994,0.248439380829192,0.0281249655133637
"spiny dogfish","bc","bottom trawl & IPHC",3.21735253257868,2.03243653467068,0.165593815347992,0.0455527920744619
"spiny dogfish","goa","bottom trawl & IPHC",23.783279827043,6.40281139944471,0.0358689117945752,0.0132345061284065
"pacific cod","cc","bottom trawl only",5.31095811627507,0.273361734283376,1.48142720652129,0.279632475138578
"pacific cod","coastwide","bottom trawl only",16.3071135706805,2.44965632253669,0.317170355045523,0.0626933082003096
"pacific cod","cc","bottom trawl & IPHC",6.05083616380735,0.350565700408593,1.67835706878698,0.293047665298655
"pacific cod","bc","bottom trawl & IPHC",7.1693073361735,0.490944081821813,0.853299105296938,0.203494854979565
"pacific cod","goa","bottom trawl & IPHC",16.889458371257,0.36444963750628,0.437096069212171,0.0274063171689852
"pacific cod","coastwide","bottom trawl & IPHC",11.1704082973643,0.341085196298535,0.626688872622459,0.0481712466654571
"walleye pollock","goa","bottom trawl only",11.3426764327861,1.44469283911428,1.10842308865907,0.235161266518308
"dover sole","cc","bottom trawl only",1.76435040786695,0.931477803407498,0.182316638675761,0.0685273556276544
"bering skate","coastwide","bottom trawl only",17.8288361605133,2.50812920216368,0.547372736712847,0.198673921924674
"shortspine thornyhead","goa","bottom trawl only",17.4038559887267,2.33419416775176,0.698222555041083,0.213221811423551
"shortspine thornyhead","coastwide","bottom trawl only",3.66458859313325,0.379504123071432,1.68479922161364,0.13946966311777
